ConstCom,TimelyInf,TaskMgm,DeviceSt,Wellness,Athlete,Style,AmznP,Female,Degree,Income,Age
5,4,4,7,7,5,6,1,0,2,5,35
4,1,3,5,5,6,4,1,0,2,5,30
5,7,3,7,3,2,3,0,1,1,5,35
5,4,4,5,5,3,3,1,1,1,5,38
5,6,5,2,5,5,4,0,1,1,3,34
5,7,7,4,2,2,4,1,0,1,5,33
5,7,4,4,1,1,3,1,1,1,5,45
5,4,2,4,5,7,6,1,1,1,5,25
3,7,7,5,5,3,4,0,1,1,5,44
4,7,4,4,1,1,4,0,0,1,5,38
6,5,3,3,3,4,4,1,1,1,3,40
1,2,2,6,6,6,4,1,1,1,2,26
1,1,3,1,3,4,3,0,0,1,1,39
4,6,5,5,5,7,4,1,0,1,2,27
2,1,5,2,5,5,4,0,1,1,2,30
7,4,5,7,6,5,5,1,1,1,3,38
6,5,7,7,7,5,7,1,1,2,5,36
5,5,7,7,7,4,7,1,1,2,5,40
4,4,3,7,4,3,3,1,0,1,5,44
7,4,4,5,3,4,4,0,1,1,5,40
5,4,4,3,4,3,5,0,1,1,3,40
3,5,7,7,6,4,7,1,1,1,3,33
2,3,3,1,4,4,3,1,1,2,2,41
4,5,5,4,2,1,3,1,0,1,5,44
7,7,7,6,5,3,3,0,1,1,5,36
6,5,7,7,5,4,6,1,0,2,3,26
5,5,3,2,4,3,3,0,0,1,3,35
7,1,3,1,6,3,4,0,0,1,3,32
1,7,4,1,3,3,4,0,0,2,3,42
5,1,4,7,5,4,5,1,0,1,3,37
1,7,3,2,5,4,4,1,0,1,3,39
5,6,3,3,3,3,3,0,1,2,2,40
1,4,3,5,4,4,4,1,1,1,4,42
6,2,4,4,5,3,4,0,1,1,3,39
2,6,3,1,3,3,4,1,1,2,4,32
4,3,4,4,2,3,3,0,1,2,3,42
5,5,7,7,5,5,7,1,0,1,3,39
7,4,3,4,2,1,1,1,1,1,5,40
6,4,7,4,4,5,4,0,1,1,2,27
4,1,3,1,2,2,4,0,0,1,2,44
5,1,4,7,6,5,7,1,0,1,3,28
6,5,5,6,4,3,3,0,1,1,5,42
5,1,4,4,7,4,7,1,0,1,3,28
4,3,3,1,4,3,3,1,0,2,3,38
7,5,7,4,7,5,7,0,0,1,3,33
6,5,7,4,6,5,6,0,1,1,3,25
5,4,3,2,3,3,4,0,1,1,1,39
5,4,3,4,4,2,3,1,0,2,4,38
4,3,4,3,1,1,3,1,0,1,4,40
4,7,7,7,5,2,3,0,0,1,4,41
2,3,3,1,3,3,4,0,0,1,1,43
4,4,3,2,3,3,5,0,1,1,4,36
7,5,4,4,5,4,5,0,1,1,3,40
3,1,2,2,1,3,4,0,0,1,2,41
4,4,4,5,5,4,3,1,0,2,3,44
1,4,3,3,3,4,4,0,0,1,2,42
7,5,7,4,6,5,7,1,0,1,3,33
1,1,4,3,3,4,3,0,0,1,3,39
5,4,7,4,4,4,5,1,0,1,5,31
6,5,7,4,3,3,3,0,0,1,5,31
5,3,3,1,3,3,3,1,0,1,4,38
6,3,3,1,4,4,3,1,0,1,3,32
7,4,3,2,2,2,3,0,1,1,3,46
5,3,4,4,2,3,4,0,1,2,3,44
4,4,3,2,3,3,4,0,0,1,2,39
6,5,2,4,5,3,5,0,0,1,3,33
4,2,4,1,4,3,3,1,0,1,3,39
4,3,4,4,2,2,4,1,0,1,3,40
4,3,3,3,3,3,4,0,0,1,3,33
5,4,3,4,5,3,5,1,0,2,3,40
2,1,3,2,1,4,3,1,0,1,3,39
5,5,2,2,2,1,3,0,1,1,3,33
6,5,5,3,6,5,6,1,1,2,3,29
6,6,3,4,4,2,4,1,0,1,3,39
5,4,6,4,7,4,6,0,0,1,3,25
4,3,6,3,5,5,4,0,0,1,3,28
7,5,7,4,7,4,7,0,0,1,3,25
5,5,3,4,6,4,4,0,1,1,3,32
7,5,2,4,6,6,6,1,0,1,5,30
4,1,4,1,5,3,3,0,1,1,4,34
5,4,3,2,6,5,5,1,1,2,2,32
5,6,4,5,4,2,4,0,1,1,3,33
6,7,7,5,5,2,4,1,0,1,3,36
4,4,5,4,5,5,5,0,1,2,3,25
4,3,3,4,1,2,3,0,1,1,2,40
4,4,3,2,3,3,4,0,1,1,4,39
6,5,5,4,6,4,5,0,0,1,5,35
4,4,1,1,5,3,3,0,0,1,3,35
2,1,4,3,2,3,3,1,0,2,3,43
5,5,5,5,5,6,4,1,1,2,5,31
4,4,3,3,3,3,4,0,0,1,2,38
5,5,4,4,1,1,3,1,1,2,4,43
6,5,7,4,2,1,4,1,0,2,4,42
5,5,7,4,4,4,5,1,0,1,4,33
4,7,4,5,4,2,4,0,0,1,2,41
2,3,2,5,5,6,6,0,0,1,4,24
5,2,3,2,3,4,4,0,0,2,4,40
4,7,7,6,5,3,3,0,0,2,4,40
1,2,4,3,3,3,3,1,0,1,2,39
1,5,4,3,7,4,5,0,0,1,4,39
2,3,3,1,3,3,3,0,1,1,3,40
5,4,3,4,7,3,5,0,0,1,3,39
6,2,4,1,3,3,3,1,0,1,3,45
5,3,3,3,3,3,3,1,1,2,3,41
5,2,4,2,4,3,3,0,1,1,2,39
5,5,5,4,5,3,6,1,0,1,5,34
6,3,3,3,3,4,3,1,0,1,3,41
3,6,5,6,3,1,4,0,0,1,3,38
5,5,7,4,7,4,7,0,0,1,5,32
6,5,7,4,7,5,7,1,0,2,4,36
5,4,3,2,3,2,4,1,0,1,3,39
4,4,4,4,4,3,5,1,0,2,3,41
6,5,4,5,4,3,4,0,1,1,5,37
4,2,5,2,6,4,4,0,1,1,2,30
5,5,3,3,3,2,3,0,1,1,1,40
5,4,5,1,5,5,5,0,0,1,2,34
5,4,4,5,5,4,3,1,1,1,5,36
4,4,3,3,3,2,4,1,0,1,2,40
7,4,7,7,1,1,3,1,0,1,5,34
2,3,4,2,4,3,3,0,1,1,2,38
4,5,5,5,5,5,4,1,0,1,3,32
2,1,4,2,3,4,3,0,0,1,2,37
3,1,3,4,2,2,4,1,0,2,3,42
5,1,4,4,6,4,7,1,1,2,3,27
4,5,4,7,5,6,6,1,1,2,4,26
1,7,3,3,2,3,3,1,0,2,3,40
5,3,3,3,5,3,3,0,1,1,2,40
4,4,5,5,4,5,5,1,0,1,2,30
4,6,3,3,3,4,4,0,0,1,3,39
4,3,3,2,2,1,4,0,1,1,3,42
6,5,7,4,7,5,5,0,1,2,4,37
4,5,5,5,3,3,4,0,1,2,5,36
3,2,3,4,2,3,3,0,0,2,3,41
7,1,4,4,5,3,5,0,1,1,4,36
7,2,4,2,6,4,4,0,0,1,3,38
6,5,4,1,3,1,4,1,1,1,3,37
3,5,5,4,6,4,6,0,0,2,4,31
3,5,3,3,2,1,4,1,0,1,3,38
6,1,1,1,1,3,4,1,0,2,3,44
7,7,3,2,4,3,4,1,1,2,4,42
2,3,3,1,3,3,4,1,1,2,3,40
3,5,7,6,5,4,3,1,0,1,5,39
3,5,7,4,6,5,6,1,0,2,4,34
6,4,3,3,3,3,4,1,0,2,3,39
4,5,7,4,7,4,6,1,0,2,3,34
5,7,7,7,5,3,5,0,0,1,5,34
7,4,4,4,7,5,7,1,1,2,5,31
3,4,4,4,4,3,5,0,1,1,2,40
4,5,3,3,4,3,3,0,0,1,3,32
5,2,5,3,5,5,4,0,0,2,2,33
5,5,7,4,7,4,5,1,1,2,3,36
5,5,5,3,5,5,4,1,1,1,2,31
4,3,4,1,3,4,4,0,0,1,2,39
6,5,7,3,4,4,5,0,1,1,2,31
6,5,4,4,7,5,7,1,1,2,5,31
5,5,5,3,5,5,5,1,1,1,3,28
4,4,2,4,4,3,3,0,1,1,5,37
4,4,3,3,3,4,4,0,0,1,4,39
6,7,7,5,5,3,3,0,1,1,5,42
6,4,4,4,7,5,5,1,1,2,3,36
4,2,3,1,3,3,4,0,1,1,4,39
7,5,7,4,6,3,4,1,1,2,5,37
1,1,3,3,3,4,3,1,0,1,3,34
4,4,4,4,3,3,5,0,1,1,4,39
6,6,5,2,5,5,4,1,1,1,2,25
3,2,4,3,3,4,4,1,1,1,2,40
7,5,7,4,5,5,5,0,1,1,2,27
4,4,5,5,4,4,3,0,0,1,5,39
4,4,7,4,7,4,6,1,1,2,5,36
5,5,5,4,6,4,5,0,0,2,5,35
6,7,7,6,2,1,4,1,0,1,5,36
4,4,4,4,4,3,4,0,1,2,3,43
5,5,7,4,6,5,5,0,1,2,5,37
5,5,4,4,7,3,6,1,0,1,3,40
3,3,3,3,2,2,3,0,0,1,3,43
5,5,7,4,5,5,5,0,1,1,2,25
4,4,4,3,3,3,5,0,0,1,4,32
5,5,3,1,3,3,4,1,0,1,3,39
2,1,3,2,3,4,3,0,0,1,2,34
6,6,7,5,2,2,3,0,0,2,5,41
5,5,3,2,3,3,3,0,0,2,2,39
4,4,3,1,3,3,3,0,1,1,4,40
6,4,4,4,6,5,6,1,1,1,3,31
4,3,3,2,4,4,3,1,0,1,3,32
7,7,3,5,1,2,3,1,0,2,5,43
4,4,4,2,3,2,4,0,0,1,4,41
3,4,4,2,3,2,4,1,1,1,4,44
3,5,4,5,1,1,3,1,0,1,5,42
4,7,7,5,3,2,4,0,1,1,3,39
6,3,3,5,5,7,6,1,1,1,5,29
6,4,3,5,4,2,4,1,1,2,5,43
6,5,7,7,5,4,5,1,0,1,3,35
3,5,4,6,3,2,4,1,1,1,3,35
3,5,3,2,4,4,4,0,0,1,2,34
3,1,4,3,2,3,3,0,0,1,3,36
3,5,4,5,5,6,4,1,1,1,4,30
3,4,4,6,4,3,4,0,0,1,5,43
5,5,7,4,6,4,5,0,1,1,5,35
6,5,4,5,3,2,4,0,0,1,3,33
4,5,4,4,4,4,5,1,0,1,2,42
3,4,4,6,4,3,3,1,0,1,3,36
3,2,3,6,5,6,6,0,0,1,4,27
5,5,3,3,4,3,4,1,1,1,3,43
6,4,4,4,6,5,4,1,1,1,5,30
5,5,7,4,7,4,7,0,0,1,5,25
5,5,4,5,2,3,3,1,0,2,3,41
6,5,7,4,7,4,7,0,0,2,4,33
5,4,4,4,4,2,3,0,0,2,4,39
4,4,4,3,3,2,4,0,1,1,3,39
7,7,4,3,4,3,4,1,0,1,3,43
2,1,4,3,2,4,3,1,0,1,3,41
6,5,4,5,5,4,5,1,0,2,4,42
4,4,3,2,2,1,3,1,1,1,3,43
5,5,3,3,3,2,4,1,1,2,3,41
4,5,4,5,4,2,4,0,0,1,3,35
6,4,4,4,7,4,4,0,0,2,3,34
6,5,3,2,3,3,4,0,0,1,3,33
5,4,3,4,5,4,5,0,0,2,2,39
3,3,3,4,5,7,4,1,0,1,2,25
3,3,3,4,3,4,4,1,0,1,3,34
4,4,2,5,3,2,3,1,1,1,5,38
4,3,5,4,5,4,5,1,0,1,2,35
6,5,5,4,6,5,6,1,0,1,5,33
4,3,3,1,4,4,4,1,0,1,2,34
5,4,5,3,5,5,5,1,1,1,2,35
5,5,5,3,5,5,4,0,1,1,4,25
5,5,4,4,5,4,6,1,1,2,3,35
4,4,3,2,4,4,4,1,0,1,2,39
6,4,3,4,6,4,6,1,1,1,5,33
5,5,5,2,5,5,4,0,0,1,3,29
5,4,3,3,3,3,4,1,1,1,2,35
6,6,3,1,3,2,4,0,0,1,4,41
4,3,3,2,5,3,4,1,1,1,3,36
3,1,2,1,2,3,3,1,1,2,3,38
5,7,5,7,5,2,4,1,1,2,3,45
6,5,3,5,3,1,3,1,1,1,4,34
6,6,3,1,3,1,4,1,1,1,3,40
5,5,2,4,5,7,4,1,1,2,5,27
5,5,2,5,5,6,4,1,1,2,5,31
4,4,3,3,2,2,4,1,1,2,3,40
5,5,3,2,3,2,4,0,1,1,3,40
5,5,3,2,3,2,4,0,0,1,1,40
4,5,5,7,4,2,3,0,0,2,5,41
2,2,3,4,2,2,3,1,0,2,3,39
4,4,3,3,3,3,4,1,0,2,3,40
4,4,3,2,4,4,3,0,1,1,4,33
4,4,3,4,5,4,5,1,0,2,2,40
5,4,5,4,5,5,5,0,0,1,3,25
5,5,5,4,5,6,6,1,0,1,5,25
5,5,3,2,5,4,4,0,0,1,4,34
5,4,3,4,4,3,5,0,0,1,2,40
5,5,5,4,6,5,4,1,0,1,2,27
3,1,4,1,4,3,3,0,1,1,3,33
3,3,3,3,2,3,4,1,0,1,3,41
6,4,5,4,7,6,7,1,1,1,5,25
5,5,5,3,6,5,6,1,1,1,4,33
5,5,3,2,3,2,4,0,0,2,3,43
5,4,4,4,6,6,6,1,1,2,5,33
5,5,5,6,4,3,3,0,0,2,3,35
2,1,3,2,2,3,3,0,0,1,3,41
5,6,3,5,5,7,4,0,1,1,2,25
3,3,3,3,4,4,4,0,1,2,3,45
6,5,5,4,7,5,5,1,1,1,3,31
1,2,5,2,5,4,4,1,0,1,4,33
6,3,3,2,3,3,3,1,0,1,2,37
1,1,2,3,2,3,3,1,1,1,2,33
4,4,3,3,2,2,4,0,0,2,2,41
3,4,3,4,4,4,4,0,1,1,3,37
6,5,5,1,5,5,4,1,0,1,3,31
2,6,2,7,5,6,4,0,1,1,2,25
6,4,3,7,5,6,4,0,1,1,4,24
5,6,3,4,3,3,3,0,0,1,2,34
5,7,4,6,5,6,4,1,1,1,5,24
5,2,4,1,4,3,3,0,1,1,3,33
3,5,3,3,5,6,4,1,1,1,5,25
7,5,5,4,6,4,7,1,0,1,3,34
3,4,3,3,2,1,4,0,1,1,4,42
2,1,3,2,4,3,3,0,0,1,3,34
6,3,3,3,3,3,4,1,0,1,3,40
3,3,3,5,5,7,4,1,0,1,4,25
5,5,4,4,7,4,6,1,0,2,4,37
4,4,5,4,5,4,4,1,1,2,4,41
6,5,5,4,6,4,7,1,1,1,5,27
4,4,3,5,1,1,3,0,0,1,3,40
4,3,5,3,5,5,5,1,0,1,3,28
6,1,5,4,7,6,6,1,0,1,5,25
6,3,3,4,5,4,5,1,0,1,3,32
3,6,2,1,2,2,4,0,1,1,4,39
5,7,3,5,3,2,4,1,1,1,5,39
4,2,5,2,5,5,5,0,0,1,4,32
4,4,3,6,5,7,6,1,1,1,5,25
5,4,3,4,4,3,4,0,1,2,3,46
5,2,5,6,5,6,4,1,1,1,5,30
5,7,4,5,4,4,5,1,1,1,5,32
5,5,4,4,7,6,6,1,0,1,3,35
3,4,2,4,7,3,5,0,0,1,3,33
6,7,3,1,5,3,4,0,1,1,3,33
5,5,2,4,5,3,5,0,0,1,3,42
4,4,5,1,5,5,5,1,1,2,3,33
5,2,5,4,6,6,4,1,0,1,5,29
5,2,5,6,5,6,6,1,0,1,5,29
2,2,3,3,2,3,3,0,1,1,4,45
6,5,5,6,4,3,4,1,0,2,4,37
4,4,4,2,3,3,4,0,0,1,3,34
5,5,5,3,6,5,4,1,1,1,2,24
6,5,5,4,5,2,4,1,1,1,3,44
4,4,5,6,5,6,4,1,1,1,5,29
5,6,3,4,2,2,3,1,0,1,3,44
4,3,3,4,3,3,3,1,0,1,3,35
2,1,2,3,2,3,3,0,1,1,3,39
6,5,5,4,7,6,6,1,1,2,3,34
5,4,3,4,6,4,4,1,0,2,5,39
3,4,3,4,4,4,4,0,0,1,4,38
6,5,3,2,4,4,4,0,1,2,4,43
5,4,3,4,3,4,3,0,0,1,3,41
4,3,3,4,6,6,4,1,1,1,2,30
4,4,3,4,4,3,4,0,1,1,2,44
5,5,5,5,5,4,2,0,0,2,3,38
5,4,4,6,5,6,4,1,0,1,5,26
5,4,5,4,6,4,5,1,0,2,5,32
5,4,3,3,4,3,5,0,0,1,2,40
7,4,3,5,5,7,4,1,0,1,4,28
5,5,4,4,2,2,4,0,1,1,4,40
3,4,3,1,3,2,3,1,1,1,3,35
6,4,7,4,7,5,6,1,0,2,5,31
1,2,3,1,4,3,3,0,0,1,2,33
7,3,3,3,6,3,4,0,1,2,3,46
5,4,4,3,2,3,3,0,0,1,4,41
1,1,4,2,4,3,3,1,1,1,3,38
4,7,5,7,4,2,2,0,0,1,5,45
5,3,3,5,5,7,6,1,1,1,5,26
5,5,5,4,7,6,7,1,1,2,4,25
4,4,3,4,6,4,5,0,0,1,3,35
2,6,5,6,4,3,2,0,1,1,3,30
5,3,5,3,6,4,5,0,0,1,4,25
1,5,2,4,5,6,4,1,1,1,5,29
4,5,3,6,2,1,4,0,0,1,3,41
5,5,4,4,6,3,6,1,0,2,3,41
5,5,5,4,7,6,6,1,1,2,3,30
6,5,3,4,5,3,6,1,1,1,3,41
6,5,3,3,4,2,5,1,1,1,3,40
6,4,3,4,6,3,4,0,0,1,3,37
7,7,5,6,5,3,2,1,0,1,5,44
6,5,4,3,5,4,6,1,0,1,3,37
5,5,3,5,5,7,4,1,1,1,5,25
6,5,5,4,4,4,6,1,0,2,3,29
4,5,2,6,5,6,6,1,1,1,2,27
3,3,2,6,5,7,6,1,1,1,1,25
4,4,3,2,3,2,4,0,0,1,3,44
6,4,3,5,7,4,4,0,0,1,5,38
4,4,3,4,2,2,4,0,1,2,3,40
5,5,5,4,7,6,6,1,1,2,3,25
5,7,3,7,1,1,1,1,0,1,3,42
4,1,3,1,4,3,3,0,0,1,4,42
3,4,2,4,5,7,4,1,1,1,2,26
2,6,3,2,2,1,4,1,0,2,3,39
6,4,5,4,7,6,6,1,0,2,3,36
7,2,3,1,3,3,4,0,0,2,3,42
7,5,4,5,7,4,4,0,0,1,5,40
4,1,3,2,2,4,3,0,0,1,3,34
4,6,5,5,1,1,4,1,1,1,5,41
5,4,5,4,4,5,4,1,0,1,2,24
2,4,4,3,3,4,4,0,0,1,3,33
7,4,3,6,3,3,4,0,1,2,5,41
6,5,5,4,4,4,5,0,1,1,2,24
5,1,3,3,2,3,1,0,0,1,4,39
1,3,3,1,4,4,3,0,1,2,4,35
7,5,4,4,6,5,7,1,1,2,5,27
6,3,3,4,2,3,3,0,0,2,4,43
7,6,5,6,5,3,4,1,0,1,4,39
5,5,3,5,5,6,4,1,1,1,5,29
3,2,5,3,5,5,5,1,1,1,2,24
5,5,5,7,5,6,4,1,1,1,5,28
4,4,5,7,5,6,4,1,1,1,2,30
4,4,2,6,6,6,4,1,1,1,5,27
4,4,3,6,5,6,6,1,1,2,5,29
4,3,3,3,5,6,4,1,1,1,5,28
6,5,5,4,5,4,6,1,0,2,4,35
3,1,4,1,4,3,3,1,0,1,4,33
4,3,3,4,5,4,3,1,1,1,3,42
4,5,3,3,3,2,4,0,0,1,3,41
3,3,4,3,2,3,3,0,0,1,3,38
6,4,5,4,7,6,7,1,1,2,3,25
5,5,3,4,4,3,3,1,0,1,3,40
4,4,4,5,4,3,2,1,0,1,3,37
4,4,3,3,3,3,4,0,1,2,3,38
5,4,5,4,6,4,6,1,0,2,4,35
6,4,4,5,4,2,4,0,1,2,5,37
6,5,5,4,5,4,6,1,0,2,3,31
7,1,3,2,3,3,4,0,0,1,3,39
6,3,3,3,5,3,5,1,0,1,3,35
5,6,7,4,4,2,4,1,1,1,2,39
4,4,5,4,5,6,4,1,1,1,5,25
3,7,7,6,4,1,4,0,1,1,3,40
6,2,3,4,2,3,3,1,1,1,3,42
4,4,6,4,7,6,6,1,1,2,5,32
5,5,6,5,5,5,5,1,0,2,5,38
1,5,3,1,4,3,4,1,1,1,3,38
4,3,6,5,7,6,6,1,0,2,4,31
1,6,3,3,2,2,4,1,1,1,3,42
7,5,7,5,7,5,7,1,0,2,5,35
3,6,2,5,5,6,6,1,1,1,5,28
1,7,7,6,5,3,5,0,1,1,4,38
5,5,6,5,5,4,6,1,0,2,3,33
6,5,7,5,7,6,7,1,1,2,4,33
6,4,5,5,6,5,6,1,1,2,5,29
3,3,3,4,5,6,4,1,1,1,5,27
7,5,7,5,7,5,7,1,0,2,3,26
5,7,2,7,5,6,6,1,1,1,5,25
4,4,3,4,5,6,4,1,1,1,4,25
4,3,5,4,5,6,4,1,1,1,5,27
4,5,3,4,1,1,3,1,0,2,3,39
4,3,5,2,5,5,4,1,1,1,4,29
4,4,3,7,5,6,6,1,1,2,5,25
6,5,7,5,7,6,6,1,0,2,3,25
4,2,5,2,5,4,5,1,1,1,4,30
7,5,5,5,5,3,7,1,0,2,3,36
4,3,7,4,6,5,5,1,1,1,2,25
5,5,4,4,3,3,5,0,0,1,3,45
7,5,3,3,6,5,4,1,1,1,5,30
5,5,5,6,4,3,2,0,1,1,2,38
1,1,3,4,1,1,4,1,1,2,3,42
4,4,3,3,4,4,3,1,0,2,2,39
7,5,7,5,6,6,6,1,1,2,3,27
5,4,7,6,3,2,4,0,0,1,3,44
3,4,4,5,5,4,2,1,0,1,2,42
1,7,3,3,3,1,4,1,0,2,2,39
7,4,4,5,3,2,4,0,1,1,4,37
6,5,7,5,5,3,4,1,0,1,4,35
1,4,5,7,4,3,2,0,1,1,2,37
1,3,5,2,5,4,5,0,0,1,4,25
6,4,3,3,1,2,3,0,0,1,3,40
2,5,3,2,3,2,4,1,0,1,3,46
6,4,7,5,7,6,6,1,0,2,5,32
4,4,5,7,1,1,4,1,0,1,3,39
6,2,3,3,4,3,3,0,0,2,3,32
6,1,3,3,2,4,3,1,0,2,2,46
3,4,3,4,3,4,4,0,1,1,2,38
6,7,7,5,4,2,2,1,0,2,5,35
2,5,7,5,7,6,6,1,1,2,3,31
4,4,4,4,5,6,4,1,1,1,2,26
3,4,4,5,4,4,4,0,0,2,2,42
7,7,3,6,1,1,4,1,0,1,4,39
4,5,3,4,4,3,5,0,1,2,4,45
1,1,3,2,1,4,3,0,0,1,4,44
5,4,6,6,5,4,2,0,1,2,4,44
5,5,7,5,5,5,7,1,1,2,5,35
4,4,5,4,5,4,4,0,1,1,2,35
6,4,4,4,6,4,5,1,0,1,4,40
5,5,3,3,4,3,3,1,1,1,3,44
4,4,4,3,3,4,5,0,1,1,2,45
5,5,7,6,3,2,4,0,0,2,5,40
4,4,4,5,5,7,6,1,1,2,5,25
6,7,7,6,4,2,2,0,0,1,4,39
3,1,2,3,5,7,4,1,1,1,4,25
4,4,3,4,5,7,4,1,1,1,5,25
3,1,4,1,3,4,4,1,0,2,4,39
5,4,3,4,5,3,4,1,1,1,4,42
5,6,2,6,5,7,6,1,1,2,5,27
4,3,4,4,3,3,5,0,1,2,4,41
5,5,2,1,3,2,4,0,0,2,4,37
7,7,5,6,5,3,2,0,1,1,3,30
4,3,3,3,4,4,3,1,0,1,3,38
4,3,3,2,4,3,4,1,0,1,5,40
3,2,3,4,1,2,4,0,0,1,2,39
6,4,7,5,7,4,4,1,1,2,3,31
4,4,3,1,2,4,3,1,1,1,3,39
4,3,3,2,4,4,3,0,1,1,2,38
6,5,5,4,6,5,4,1,1,2,1,31
4,4,1,3,2,2,4,0,0,1,2,41
3,2,6,2,5,5,5,0,1,1,4,25
4,5,4,6,1,1,4,0,0,1,5,38
6,6,6,4,3,3,4,0,1,1,4,37
6,6,6,5,1,1,4,0,1,1,5,37
3,4,7,5,4,4,2,0,0,2,2,39
4,4,6,4,5,5,3,1,0,1,3,31
4,4,7,4,5,5,6,1,1,1,4,31
3,3,4,4,3,4,4,0,1,1,2,40
5,5,7,5,7,6,7,1,0,2,5,31
5,4,4,1,4,4,4,1,1,1,2,33
5,4,4,3,6,5,4,1,1,1,1,40
4,5,7,5,7,6,7,1,1,2,4,26
3,3,4,3,3,3,4,1,0,1,2,46
7,5,7,4,7,6,7,1,1,2,3,34
4,4,4,2,2,1,3,0,0,2,2,44
2,4,3,2,3,3,4,1,1,2,1,41
6,3,2,7,6,6,6,1,1,1,5,25
3,4,7,4,6,5,5,1,1,2,4,33
6,5,4,3,3,1,4,0,1,1,2,40
5,4,7,3,6,5,5,0,0,1,4,25
6,2,4,4,6,6,4,1,1,1,5,27
3,3,3,7,5,7,6,1,1,2,5,29
1,4,5,5,5,6,6,1,1,2,3,37
6,4,4,3,2,3,3,0,1,1,2,41
7,3,7,3,5,5,5,1,0,1,4,24
7,2,2,6,5,6,4,1,1,2,5,25
7,3,5,4,5,6,4,1,1,2,5,30
5,5,5,4,6,5,6,1,0,2,4,37
7,7,6,5,5,2,5,1,0,1,5,36
5,6,7,7,4,3,5,1,0,1,5,40
1,1,4,3,2,4,3,1,0,1,1,39
1,6,7,4,7,5,5,1,1,1,3,29